paintname,hex
Warrington,#a5d0c5
Morison Bush,#bcdbd3
D'Urville Island,#7bb5ac
Hidden Falls,#e2f6ef
New Plymouth,#5ab9a1
Horseshoe Falls,#8bd3c4
Ōtama Beach,#72c8b5
Orewa,#b9e7db
Cape Jackson,#349b7f
Ōmihi,#026b5a
One Tree Hill,#2d7f69
Whakaari / White Island,#c9cbbf
Whakaari / White Island Half,#d6d8cd
Glendhu Bay,#a6ae9f
McKellar Saddle,#7e8574
Motutapu Island,#5f655a
Whakaari / White Island Double,#b9bbad
Arthur's Pass,#929585
Mt Messenger,#3d4844
Katikati,#384e46
Mokai Canyon,#81a79d
Ruahine,#6d9287
Yaldhurst,#c0d3ca
Gonville,#9bc2b3
Waiheke,#2c5c4d
Parnassus,#afd1c3
Rārangi,#85b2a0
Waimauku Half,#cee3d8
Waimārama,#4a5756
Cornwall Park,#b0e5c7
Sheerdown Peak,#dff2e3
Tinkertown,#474c48
Barrys Bay,#c2ebd0
Purity Hut,#83d1a6
Whangamatā,#9bdcb7
Greta Valley,#3bb76f
Kurow,#1e974e
Winton,#61ba82
Kārewa Island,#157951
Whitemans Valley Half,#d6d9cb
Whitemans Valley,#c8ccbb
Kohukohunui,#bfc0aa
Willow Flat,#a7aa9a
Musket Bay,#656756
Casino Hut,#9db8aa
Mangakino,#969984
Emerald Pools,#dbe3d1
Pureora,#567062
Wadestown,#c9e3cb
Pūrākaunui Bay,#88a495
Happy Valley,#32493c
Avonhead,#aac4a6
Mōtū River,#cadbc7
Grove Arm,#6eb476
Chatham Islands,#3a533c
Sandringham,#e4f5e1
Wainuiomata,#52b960
Halswell,#b6dbbe
Glentui,#8fc39c
Geraldine,#a5d0ae
Shotover Street,#00834a
Cossack Rock,#a9a594
Pāuanui,#93907f
Ardmore,#95a28a
Gracefield,#2aaa41
Grahams Beach,#455338
Woods Creek,#bcc5b2
Claris,#90a073
Tōtara Park,#ccd3c3
Cloudy Range,#757361
Hakatere,#d6e1c1
Ōtatara,#4a613a
Inglewood,#9fd196
Okains Bay,#aabf8b
Mt Sefton,#e7f1d0
Oakley Creek,#ebf7e8
Mataī Falls,#c3e4bc
Lake Gunn Forest,#b2daaa
Hawke's Bay,#cff0cc
Tiniroto,#62a348
Wellsford,#cdd1bc
Wai o Taiki Bay,#6eb54b
Mahora,#6cac58
Eketāhuna,#8cc379
Flat Island,#6d6f57
Ōhiwa,#9b9e80
Martins Creek,#b1b49a
Taieri,#4f513f
Ngātea,#cfd79d
Pukekura Park,#8b8c6e
Burgess Park,#ecf3e5
Te Puke,#97a263
Lake Waihola,#e3edc1
Waituna West,#c6cd87
Waimea,#e8f2c4
Te Ahuahu,#d2e587
Pohangina,#bfd75a
Waterfall Bay,#edf4d2
Tiritea,#e1ebb1
The Pinnacles,#8aaf38
Karamea,#a6c348
Mt Stevens,#505238
Wright Hill,#bebc99
Tapora,#afb75f
Tarras,#817c58
St Bathans,#a2986a
Britomart,#babf6c
Ashhurst,#8d974e
Matauri Bay,#cdcc99
Naenae,#cacd40
Devil's Pool,#bce12a
Puysegur Point,#9c9380
Te Horo,#6d725a
Wright Hill Quarter,#dad4ba
Raymonds Gap,#817b69
Whitemans Valley Double,#b9b9a5
Waitomo Caves,#dbd4b0
Punga Cove,#42463e
Marine Parade,#3a3c36
Basin Reserve,#5a5d56
Mōrere,#aabda2
Mt Bruce,#525550
Middlemore,#576d61
Kōpū,#757c49
Manfeild,#698364
Matauri Bay Double,#bab072
Mystery Creek,#b0b07b
Emerald Lakes,#4c785f
Cossack Rock Quarter,#cac5b6
Colac Bay,#4dc0a6
Malaspina Reach,#b0c3ba
Whitemans Valley Quarter,#e0e3d7
Whakaari / White Island Quarter,#e0e1d8
Wright Hill Half,#ceccad
Waitangi Half,#c9c3b5
Waimauku Quarter,#daeae1
Wadestown Quarter,#e0efe1
Sugarloaf Island Quarter,#dce4dd
Pororari River Quarter,#cdc3a7
Lincoln,#343b37
Hutt River,#c8c1b1
Murchison,#bbb4a4
Kea Point,#345e61
Lake Ferry,#a39b87
Moana Reserve Half,#d6d8c9
Moana Reserve Quarter,#e1e2d6
Moana Reserve,#c9ccba
Wainui Beach,#9ab4ac
Waitangi Double,#afa491
Te Aroha,#838e75
Pt Chevalier,#427571
Lyttelton Double,#adaea6
Waitangi,#c2bba9
The Viaduct,#008e96
Te Ānau,#7da3a2
Pencarrow,#6c7a74
Ōhai,#8b9188
Ōhai Half,#9fa39a
Matamata,#b0a980
Lyttelton Half,#cecfca
Lakeside,#a9c7c3
Cuba Street,#b1c05e
Benmore Half,#ccdfdb
Dusky Forest,#6d6746
Waitiki Landing,#c0d5c9
Sugarloaf Island,#c2cfc5
Rangipo,#9a886a
Te Waewae Half,#d9c7ab
Devonport,#f0efbf
Church Road,#d4cd58
Brookby,#dcd467
Southbridge,#e3dc84
Dog Kennel Corner,#ebeaaf
Silverstream,#e5e2bf
Invercargill,#665738
Waiōuru,#9c8752
Longwood Forest,#dbd399
Te Puna,#e2deae
Pigeon Bush,#c1b25c
Clive,#96913a
Mayfield,#ede29a
Stewart Island,#f0eebe
Zalatown,#e4d066
Flaxmere,#f8f6df
Sergeants Hill,#eada82
Waipara,#f2e9af
Snells Beach,#bebc35
Fort Street,#e9dd24
Dipton,#e5d398
Desert Road,#ddc17e
Masterton,#bf9e4a
Arrow River,#cfb059
Hibiscus Coast,#dfc781
Te Rapa Half,#f0eacd
Kaiwaka,#fbf0bf
Duntroon,#d6bf80
Wairoa,#f9f0d7
Homer Tunnel,#b09337
Paihia,#ffe481
Crow Valley,#cda959
Rotorua,#fcd33b
Ōmāpere,#fdeeaf
Lochiel,#ffdd62
Waipawa,#fbd624
Aotea Quay,#e5c53f
Lawrence,#e1bb2f
Champagne Springs Quarter,#f9f0d7
Cheddar Valley,#ebd9aa
Five Rivers,#5b4e39
Pataua Beach,#d1bc92
Waihī,#a47d3f
Naseby,#8e6838
Wairau,#cea663
Kelvin Heights,#f6d37f
Champagne Springs Half,#f9eccb
Pukekawa,#ecddad
Kamo,#c79535
Blanket Bay,#f8f3e0
Carterton,#f9d464
Koromiko,#fde599
Ōtorohanga,#fbeebf
Kōwhai Park,#f3c440
Cape Kidnappers,#fcdc81
Fitzroy,#fcebae
Tōtaranui,#eaddc0
Darfield,#c5ac7c
Pyramid Valley,#caa66e
Waikino,#5a4c39
Lindale,#f8dfa9
Whitcombe Valley,#7c6742
Tāmaki,#dbb37a
Houhora,#c89b59
Paekākāriki,#ead9b6
Macetown,#e9bc63
Washdyke,#987444
Glentunnel,#816440
Champagne Springs,#f9e6bb
Kaiteriteri,#f6d27f
Albury,#f5d593
Silverdale,#f9efd8
Manaia,#c58c37
Lichfield,#fbe9bb
Torrent Bay,#efc87c
Granity,#5d4a38
Rai Valley,#d8c8a9
Halfmoon Bay,#ebddbf
Moa Flat,#c5ab84
West Melton,#7d603f
Whale Bay,#e9d9c2
Tōtaranui Half,#f0e2c8
Pearl Island,#e7d78f
Paeroa,#e6c089
Limehills Half,#d7c59b
Limehills Double,#bca56e
Matauri Bay Quarter,#e6dcb7
Matauri Bay Half,#ddd1a5
Gore,#42392f
Waipapakauri,#756042
Limehills,#c4af7f
Edendale Double,#c9bd9f
Dunsandel,#c7b796
Dunsandel Double,#b7a482
Darfield Half,#d3b88f
Edendale,#d7ccb2
Dashwood Pass,#bd9369
Cape Rēinga Half,#d4bc90
Collingwood Double,#dfcfb1
Cape Rēinga,#cab181
Gentle Annie,#d9d5ad
Ōmarama,#b7a07a
Edendale Half,#e1d9c3
Dunsandel Half,#d5cbae
Kāpiti,#cbb992
Te Waewae,#ccb798
Ōmarama Double,#ae8e66
Shelly Beach,#ebd9aa
Pororari River,#b0a47e
Lambton Quay,#d5b966
Limehills Quarter,#ded5b0
Kereta,#e0c38e
Hagley Park,#fae5ab
Halfmoon Bay Quarter,#f3ecd9
Eskdale,#d2b995
Collingwood,#e5dcc4
Awatere,#d3b266
Canvastown,#b6a167
Herbert,#9d7638
Hinuera,#decc96
Victoria Street,#f6cd55
Te Rapa,#ebe3be
Port Ōhope,#deb45b
Cavelli Islands,#d6bf43
Anaura Bay,#fcba2d
Matapōuri,#bc8d57
Cape Runaway,#fbe0ac
Karaka Bay,#f1ad3c
Tata Beach,#edb959
Otūmoetai,#f5cd80
Horsham Downs,#c18534
Gisborne,#fca92f
Ida Valley,#e3a859
The Terrace,#daaf7d
Knottingley Park,#b6803f
Fitzherbert Ave,#be7b35
Thames,#a36f36
Macraes Flat,#bd8753
Waihau Bay,#795235
Fortrose,#bc8743
Evansdale Half,#fae8cd
Medlands Beach,#ead0a2
Evansdale,#fbe3bf
Omaha,#e1c290
Sherwood,#fcdcaf
