paintname,hex,place,modifier,longitude,latitude
Matapōuri,#bc8d57,Matapōuri,,174.5030702,-35.5663974
Cape Runaway,#fbe0ac,Cape Runaway,,177.9827614,-37.5394005
Karaka Bay,#f1ad3c,Karaka Bay,,174.8774627,-36.8486942
Tata Beach,#edb959,Tata Beach,,172.9147598,-40.8111618
Otūmoetai,#f5cd80,Otūmoetai,,176.1402406,-37.6717267
Horsham Downs,#c18534,Horsham Downs,,175.249722,-37.6985246
Gisborne,#fca92f,Gisborne,,178.0206487,-38.661326
Ida Valley,#e3a859,Ida Valley,,169.7759325,-45.0833413
The Terrace,#daaf7d,The Terrace,,172.6344841,-43.5325945
Knottingley Park,#b6803f,Knottingley Park,,171.0563645,-44.7480523
Fitzherbert Ave,#be7b35,Fitzherbert Ave,,174.6213884,-36.8198855
Thames,#a36f36,Thames,,175.5418037,-37.137983
Macraes Flat,#bd8753,Macraes Flat,,170.4290349,-45.382159
Waihau Bay,#795235,Waihau Bay,,177.9060602,-37.6141164
Fortrose,#bc8743,Fortrose,,168.800835,-46.5750891
Evansdale Half,#fae8cd,Evansdale,Half,170.5700183,-45.7194832
Medlands Beach,#ead0a2,Medlands Beach,,175.4921071,-36.2643879
Omaha,#e1c290,Omaha,,174.7747859,-36.3399886
Sherwood,#fcdcaf,Sherwood,,171.8223739,-43.7493194
Morven,#fad19c,Morven,,171.1082088,-44.8177831
Kūmara,#f2b66a,Kūmara,,171.1869146,-42.6298696
Ninety Mile Beach,#f7dfb9,Ninety Mile Beach,,173.0461184,-34.8524563
Sheffield,#e99e4b,Sheffield,,172.0211299,-43.3891595
Cheviot,#eeac5d,Cheviot,,173.2735027,-42.8116534
Raumati,#d9853f,Raumati,,174.9807058,-40.9186111
Evans Bay,#e8944b,Evans Bay,,174.8111418,-41.3001439
Riverton,#b77e53,Riverton,,168.0202689,-46.3509977
Kūaotunu,#dec8ae,Kūaotunu,,175.7245723,-36.7232825
Tokoroa,#88593a,Tokoroa,,175.8705389,-38.2168677
Broadfield,#c48e5e,Broadfield,,172.4682617,-43.6044756
Frankton,#734833,Frankton,,175.2571104,-37.7909408
Herd Street,#d7a97f,Herd Street,,174.785844,-41.2911427
Ligar Bay,#de9351,Ligar Bay,,172.9094837,-40.8222996
Baylys Beach,#dfb995,Baylys Beach,,173.7462766,-35.9494945
Abbotsford,#cc996a,Abbotsford,,170.4257886,-45.8946234
Albert Town,#d27b34,Albert Town,,169.1872642,-44.6832402
Pukehina Half,#f7e0c9,Pukehina,Half,176.5259331,-37.8233827
Mercury Bay,#fde4c6,Mercury Bay,,175.7226052,-36.8158558
Roxburgh,#ffcfa0,Roxburgh,,169.3139403,-45.5393399
Hāwera,#faecdd,Hāwera,,174.2837207,-39.5893462
Mercury Bay Half,#fbebd3,Mercury Bay,Half,175.7024856,-36.8331861
Mititai,#ffc18a,Mititai,,173.9329912,-36.0143183
Green Island,#ffac62,Green Island,,170.4301484,-45.903193
Tapawera,#d7bda6,Tapawera,,172.8252254,-41.3854986
Opito Bay,#e5d1c0,Opito Bay,,174.1530859,-35.2639553
Broadway,#d5a285,Broadway,,174.7779576,-36.8686282
Cape Campbell,#8a4e30,Cape Campbell,,174.2746266,-41.7282357
Ngongotahā,#ead4c7,Ngongotahā,,176.2127159,-38.0808401
Kingsland,#a98469,Kingsland,,174.7439365,-36.871195
St Andrews,#faeee4,St Andrews,,175.261236,-37.7537848
Bainham,#6d4333,Bainham,,172.5636935,-40.7653922
Taumata,#f2d0bf,Taumata,,176.5403047,-40.3460617
Taumata Quarter,#f7e5d9,Taumata,Quarter,173.392972,-35.0635
Bucklands Beach,#f7baa2,Bucklands Beach,,174.904601,-36.8662371
Kuratau,#eb9a76,Kuratau,,175.7717385,-38.8905969
Ruawai,#dd7f5a,Ruawai,,174.0252849,-36.1368675
Pōrangahau,#c4552d,Pōrangahau,,176.6224496,-40.3072127
Coatesville,#ad4430,Coatesville,,174.6393415,-36.7170336
Benhar,#d69579,Benhar,,169.7959438,-46.2242527
Rangatāua,#b55732,Rangatāua,,175.4553203,-39.4280128
Kākahi,#edd3c7,Kākahi,,175.3834269,-38.9354696
Nile Street,#c4795d,Nile Street,,170.4924671,-45.9068085
Tāne Mahuta,#934a35,Tāne Mahuta,,168.8614374,-46.0630219
Waitārere Beach,#ffaa97,Waitārere Beach,,175.2395728,-40.5629044
Havelock North,#ff9d80,Havelock North,,176.8771367,-39.6702108
Te Awamutu,#fc7f5d,Te Awamutu,,175.3257827,-38.0101564
The Domain,#fac9b5,The Domain,,174.3631217,-35.773037
Ponsonby,#9d6750,Ponsonby,,174.7435778,-36.8477056
Courtenay Place,#e35840,Courtenay Place,,174.7803883,-41.2932163
Halfway Bluff,#c6765f,Halfway Bluff,,168.3272238,-44.0581219
Merino Downs,#f2ded4,Merino Downs,,169.0819465,-45.9651473
Gabriel's Gully,#e7c7a9,Gabriel's Gully,,176.6026909,-39.9843487
Honeymoon Valley,#ff9f68,Honeymoon Valley,,173.493261,-35.1274821
Pukehina,#f5d5ba,Pukehina,,176.5341645,-37.79195
Eltham,#fad997,Eltham,,174.3048314,-39.4282209
Earnscleugh,#ca965d,Earnscleugh,,169.3178745,-45.2162322
Cheltenham,#ede0d4,Cheltenham,,175.6608381,-40.1375859
Bunnythorpe Quarter,#f0e7d4,Bunnythorpe,Quarter,175.631499,-40.2825904
Awaroa,#deb29a,Awaroa,,173.2838056,-35.2727799
Rangitata,#e7b7a4,Rangitata,,171.1945441,-43.7490763
Port Hills,#e64d1b,Port Hills,,172.7304227,-43.5869302
Ōhakune,#ef9029,Ōhakune,,175.3996126,-39.4169455
Kerikeri,#c06f32,Kerikeri,,173.9491061,-35.2272607
Tokomaru Bay,#ac542d,Tokomaru Bay,,178.3160945,-38.1275279
Tītahi Bay,#e8c3ae,Tītahi Bay,,174.8374978,-41.1086925
Rangitoto,#904433,Rangitoto,,174.7359167,-36.7386148
Motueka,#c18562,Motueka,,173.0094875,-41.112493
Mangatainoka,#dc7842,Mangatainoka,,175.7100642,-40.5577931
Te Araroa,#97342c,Te Araroa,,178.3610171,-37.6330949
Gimblett Rd,#773938,Gimblett Rd,,176.7466266,-39.6129383
Ranfurly,#814c43,Ranfurly,,170.100127,-45.1303673
Prebbleton,#d1b6a7,Prebbleton,,172.5141224,-43.5800673
Dunedin,#dcc5b9,Dunedin,,170.5035755,-45.8740984
Lauder,#a17a66,Lauder,,169.6727526,-45.0530863
Borland,#906c5d,Borland,,167.451334,-45.70878
Tikitiki,#7a443a,Tikitiki,,178.4136694,-37.795285
Golden Springs,#f9f0ef,Golden Springs,,176.3121611,-38.4677588
Mussel Point,#fee1da,Mussel Point,,174.2239956,-41.7226329
Takapuna Beach,#bc4939,Takapuna Beach,,174.7770082,-36.7892356
Whitianga,#e9b5a8,Whitianga,,175.7024856,-36.8331861
Kumutoto Half,#e7d8d4,Kumutoto,Half,174.7707714,-41.2880909
Bland Bay,#bf9d91,Bland Bay,,174.359561,-35.3385744
Big Glory Bay,#da9284,Big Glory Bay,,168.1160106,-46.9764775
Moncks Bay,#6a3a36,Moncks Bay,,172.7436021,-43.566388
Pōhutu Geyser,#9f6e60,Pōhutu Geyser,,176.2539737,-38.1635344
Tokaanu,#f4e6e5,Tokaanu,,175.7685115,-38.9648687
Kaipara,#62403b,Kaipara,,174.2018585,-36.3796294
Redcliffs,#903b2f,Redcliffs,,172.7369305,-43.5609616
Andersons Bay,#c77462,Andersons Bay,,170.5316864,-45.8961549
Tokerau Beach,#ffd4d1,Tokerau Beach,,173.3713337,-34.8830436
Flat Point,#fd938f,Flat Point,,175.9541512,-41.2426269
Three Kings,#a14237,Three Kings,,174.7583572,-36.9090049
Double Cove,#f47369,Double Cove,,174.0137327,-41.2351902
Thornbury,#9b3934,Thornbury,,168.0941062,-46.2892915
Riccarton,#ffc6c2,Riccarton,,172.5947946,-43.5309939
Foxton Beach,#ffb6b2,Foxton Beach,,175.2225541,-40.4613776
Devils Staircase,#d43938,Devils Staircase,,173.8501946,-41.082219
Colombo Street,#c92c2b,Colombo Street,,174.7776937,-41.3122368
Whakapapa,#5b3e3c,Whakapapa,,175.5386207,-39.200643
Ōtautau,#e5cec9,Ōtautau,,167.9989374,-46.1398505
Tokatoka,#b56f66,Tokatoka,,173.9749135,-36.0572998
Vinegar Hill,#dba09e,Vinegar Hill,,175.6314977,-39.9252398
Red Rocks,#8a3b34,Red Rocks,,174.7270535,-41.3576186
Gordonton,#eed0cd,Gordonton,,175.3082395,-37.6711885
Āwhitu,#ffb4b4,Āwhitu,,174.6349556,-37.0843949
Moutere,#76362e,Moutere,,172.1920041,-40.8322023
Waimakariri River,#c9706a,Waimakariri River,,172.069178,-43.3594111
Aratapu,#d5847e,Aratapu,,173.9055585,-36.0137488
Albany,#f6eef2,Albany,,174.7086478,-36.7279344
Wenderholm,#aa3030,Wenderholm,,174.7015442,-36.5347056
Burkes Pass,#e6afb0,Burkes Pass,,170.6527866,-44.0894425
Whiritoa,#efcfd2,Whiritoa,,175.9004113,-37.2836153
Ashburton,#e4898d,Ashburton,,171.7503327,-43.9024396
Kākānui,#94302f,Kākānui,,175.1357603,-40.9647982
Cherry Bay,#d16869,Cherry Bay,,174.1857118,-41.1716903
Morikau,#9e6a66,Morikau,,175.0974451,-39.5617096
Point England,#f1dedd,Point England,,174.8652954,-36.8847075
Rangiora,#deb2af,Rangiora,,172.5961483,-43.303171
Silo Park,#6b3938,Silo Park,,174.7547846,-36.8398339
Warkworth,#5e3e41,Warkworth,,174.6642316,-36.3984914
Snowdon Forest,#b98278,Snowdon Forest,,168.0761736,-45.2393638
Devils Backbone,#7a3332,Devils Backbone,,173.449435,-41.668641
Hāwai,#e1c1c1,Hāwai,,177.5283851,-37.9226067
Richmond,#d9a5ac,Richmond,,173.1872264,-41.3380953
Ruby Bay,#d18e8d,Ruby Bay,,173.0863455,-41.2350885
Passage Rock,#60352e,Passage Rock,,175.1298923,-36.8575074
Crown Range,#eab2b3,Crown Range,,168.9202465,-44.9537943
Tikokino,#fad0d2,Tikokino,,176.4530575,-39.8160446
Hurunui,#bb5f63,Hurunui,,172.6411177,-42.8251955
Eastern Bush,#fbeceb,Eastern Bush,,167.760483,-46.013209
Millers Flat,#e5a0a1,Millers Flat,,169.4115378,-45.6639043
K Road,#c84848,K Road,,174.7534219,-36.8591814
Ness Valley,#9a3335,Ness Valley,,175.1277995,-36.9946522
Ettrick,#893737,Ettrick,,169.3650466,-45.6348073
Punaromia Quarter,#dfd2ca,Punaromia,Quarter,176.3737177,-38.207085
Punaromia,#c6b3a9,Punaromia,,176.3760003,-38.2063914
Scorching Bay,#ae3b3d,Scorching Bay,,174.8346249,-41.2981623
Horeke,#a49086,Horeke,,173.593211,-35.3567081
Roseneath,#c17c83,Roseneath,,170.6009244,-45.8273021
Winchester Half,#edd9d9,Winchester,Half,171.2783685,-44.1849304
Greenlane,#d7b3ba,Greenlane,,174.7939619,-36.893759
Ōhaeawai,#a86f64,Ōhaeawai,,173.8821805,-35.3518338
Waimangu Valley,#f8eaed,Waimangu Valley,,176.3965256,-38.2840719
Hidden Valley,#efcfd2,Hidden Valley,,172.6575463,-43.591465
Red Beach,#8c474d,Red Beach,,174.7019115,-36.6043568
Ellerslie,#ca798b,Ellerslie,,174.8150298,-36.897603
Welcome Bay,#a73944,Welcome Bay,,176.1874502,-37.7294281
Pandora,#f1c2c3,Pandora,,176.886452,-39.4913611
Gladstone Road,#b35968,Gladstone Road,,174.7387241,-36.8076691
Tauhara Park,#ab4d53,Tauhara Park,,175.2694799,-37.7397783
Mechanics Bay,#af9794,Mechanics Bay,,174.7836176,-36.8468148
Tirimoana,#96827d,Tirimoana,,174.6486756,-36.8869367
Kawerau,#806461,Kawerau,,176.7033298,-38.0857434
Gillespies Beach,#9b555f,Gillespies Beach,,169.8197293,-43.4150392
Omaui,#8e3646,Omaui,,168.26089,-46.51905
Tawa,#9f3649,Tawa,,174.8247761,-41.1681676
Matakana,#87393b,Matakana,,176.0631458,-37.5600501
Lake Hayes,#5f3935,Lake Hayes,,168.8244098,-44.9701266
Lake Grassmere,#a54c4e,Lake Grassmere,,174.134728,-41.719753
Dargaville,#ac7b7b,Dargaville,,173.8685702,-35.9412143
Earthquake Flat,#845a4e,Earthquake Flat,,176.3018342,-38.315624
Bluff Hill,#d39f93,Bluff Hill,,176.9172861,-39.4788919
Ngāpuna,#c2a292,Ngāpuna,,176.27393,-38.1450538
Roaring Meg,#be4c3e,Roaring Meg,,175.1978749,-40.8763442
Waverley,#793d29,Waverley,,174.6291448,-39.7623103
Trentham,#d7c0ba,Trentham,,175.0388329,-41.1341841
Ngawi,#8d4f4c,Ngawi,,175.2340526,-41.5876747
Kaitaia,#ae2b2f,Kaitaia,,173.264022,-35.1140609
Alexandra,#eed2cb,Alexandra,,169.3921819,-45.2550839
Red Jacks,#95352e,Red Jacks,,171.4379964,-42.4044108
Oxford Terrace,#af3f42,Oxford Terrace,,174.807967,-36.8239772
Kelburn,#a85c60,Kelburn,,174.7623927,-41.289205
Gibbston Valley,#68393d,Gibbston Valley,,168.9151536,-45.0122832
Cashel Street,#e6a7ae,Cashel Street,,172.653702,-43.5331046
