paintname,hex,place,modifier,longitude,latitude
Cumberland Street,#563b37,Cumberland Street,,172.6546721,-43.519403
Hopelands Quarter,#d6cbc0,Hopelands,Quarter,171.4077651,-43.7775077
Calm Peak,#dfc8aa,Calm Peak,,166.75976,-45.47413
Diggers Valley,#83624f,Diggers Valley,,173.3113003,-35.1837349
King Country,#b6a494,King Country,,175.2158303,-38.46595
Arrow Rock,#a89a89,Arrow Rock,,173.2570971,-41.2713737
Lindis Pass,#9f8d77,Lindis Pass,,169.6430798,-44.5882604
Karehana Bay,#a99683,Karehana Bay,,174.8652978,-41.0819811
Marokopa Falls,#826c59,Marokopa Falls,,174.8519552,-38.2616381
Pauātahanui Half,#ac9c89,Pauātahanui,Half,174.8585899,-41.1088953
Hicks Bay,#e7e0d7,Hicks Bay,,178.2900625,-37.5913283
Whāngārā,#ded0c4,Whāngārā,,175.3713657,-36.2552651
Waipukurau,#a38784,Waipukurau,,176.5567117,-39.9956
Riversdale,#9f9385,Riversdale,,168.7437041,-45.9013221
Rakaia Half,#aaa599,Rakaia,Half,172.0236842,-43.7566951
Mt Maunganui,#b7977c,Mt Maunganui,,176.1838841,-37.6380218
Te Kaha,#d1c9be,Te Kaha,,177.6785714,-37.7391832
Rakaia Double,#837b6e,Rakaia,Double,171.625,-43.495944
Rakaia,#938e83,Rakaia,,171.6130479,-43.4828501
Norsewood,#797268,Norsewood,,176.2155372,-40.0707728
Miramar,#544942,Miramar,,174.816551,-41.3164457
Mavora,#7b766d,Mavora,,168.1684311,-45.2255785
Mangaweka,#a59e92,Mangaweka,,176.0854377,-39.8177827
Laingholm,#59524a,Laingholm,,174.6403411,-36.9676904
Kohunui Bay,#aeafbb,Kohunui Bay,,174.456741,-36.9360185
Parkvale,#beb7bf,Parkvale,,176.8594668,-39.64906
Gouland Downs,#c99f96,Gouland Downs,,172.317131,-40.89567
Havelock,#c4bdc3,Havelock,,173.7676834,-41.278597
Havelock Half,#d2cbd0,Havelock,Half,175.0209573,-37.2629463
Mt Somers,#dfd9dc,Mt Somers,,171.4024346,-43.7055797
Ōpunake,#594d54,Ōpunake,,173.8601616,-39.4546624
Ngāruawāhia,#3d343f,Ngāruawāhia,,175.1500534,-37.6662658
Milton,#b5adb5,Milton,,169.9624539,-46.1167784
Diamond Harbour,#746a73,Diamond Harbour,,172.7399332,-43.6271963
Amberley,#8d828c,Amberley,,172.7329869,-43.1512956
