ID,dir,lon,lat,x,y
39,.,-139.406331591763,69.63110375494989,-2359276.674384439,6247082.208152202
40,.,-127.41719909102301,75.5084172809494,-2183552.4537052168,5658389.25724257
41,.,-100.140195684179,79.94533966676809,-2036008.989862148,4990222.707270489
42,.,-57.359804322856796,79.945339667235,-1912551.1282607145,4271536.7057661805
43,.,-30.082800912842398,75.5084172819962,-1812266.2500074832,3534160.250843658
44,.,-18.0936684090693,69.6311037551499,-1735507.0034903241,2808571.266766654
45,.,-8.50066473945458,62.4358517729556,-1512663.4610235817,1958670.5524592397
46,.,-156.058245727765,50.6768705167046,-2773691.7643240644,7751759.719342952
47,.,-148.840628691127,57.555459021714604,-2816676.163302832,7160911.06079993
48,.,-141.001601605341,64.6893968209492,-2700555.940647187,6538982.804456785
49,.,-127.960329006463,71.1873390341225,-2594611.9268575907,5842469.70842418
50,.,-110.491467925773,76.10489852600159,-2402344.3554681297,5241497.41319673
51,.,-78.7500000025324,78.34461349248541,-2249245.485502226,4554450.3807444135
52,.,-47.0085320782831,76.1048985265387,-2134406.617605314,3826113.107856721
53,.,-29.5396709946156,71.18733903422141,-2057813.0301472298,3104408.4258046984
54,.,-16.4983983895686,64.6893968210741,-1844951.8580269227,2268093.1025133412
55,.,-157.016400761839,46.4466190758529,-3119197.555371658,7900262.05948113
56,.,-148.615905405811,52.567655008344204,-3292421.7444644053,7316093.742878656
57,.,-141.902414868404,59.866143480929004,-3079225.5216404456,6768414.181071104
58,.,-131.77342098966002,66.4175214321626,-2944562.825791214,6133802.753906455
59,.,-115.151744271606,71.9435853513677,-2810600.3997499156,5431383.272316894
60,.,-93.47677190373828,75.48801388365071,-2606383.6301808776,4813708.24300729
61,.,-64.02322809933929,75.48801388379141,-2461585.100910418,4106132.633105359
62,.,-42.3482557296014,71.94358535133709,-2379558.2946636486,3388514.20797298
63,.,-25.7265790057504,66.41752143250771,-2176412.5891302614,2567327.0760790803
64,.,-150.51545385657698,48.4820559616496,-3566044.943335349,7502395.206506326
65,.,-142.74366049491698,55.0459407238107,-3498757.764769115,6950375.775153549
66,.,-134.063276227761,61.7098755951071,-3324206.3982245065,6366115.478898702
67,.,-121.463922298771,67.5142130275405,-3168864.529486585,5720408.060246375
68,.,-101.962333054921,71.8129569292033,-3008196.131253461,5014040.561326277
69,.,-78.75000000081451,73.7159597324473,-2802249.2503331923,4371343.432171342
70,.,-55.537666946221705,71.8129569290312,-2701599.1293847784,3660045.4754005647
